accel_x,accel_y,accel_z,variance,variance,mean_x,mean_y,covarianceX,covarianceY,whiteNoiseX,whiteNoiseY
0.004019003,0.002284864,0.14621478,,,,,,,,
0.004774618,0.002286754,0.14759639,,,,,,,,
0.003303976,0.001030126,0.14897583,,,,,,,,
0.003651694,0.002304657,0.15044388,,,,,,,,
0.002809147,0.002876281,0.15032789,,,,,,,,
0.002664788,0.002494525,0.14972003,,,,,,,,
0.001176473,0.00230087,0.1478424,,,,,,,,
5.04E-04,0.002963572,0.14874023,,,,,,,,
9.55E-06,0.00281396,0.14872457,,,,,,,,
-2.95E-04,0.004147024,0.1495866,,,,,,,,
8.65E-05,0.00360548,0.14938045,,,,,,,,
-4.77E-04,0.003103874,0.14912318,,,,,,,,
1.05E-04,0.002447736,0.14695941,,,,,,,,
0.001609692,0.00233172,0.14639933,,,,,,,,
0.001811719,0.001003273,0.14775124,,,,,,,,
0.003403935,6.62E-04,0.1488017,,,,,,,,
0.002819272,3.87E-04,0.14886393,,,,,,,,
0.002594617,6.41E-04,0.14724277,,,,,,,,
0.002508188,-1.61E-04,0.14723508,,,,,,,,
0.00269432,7.16E-04,0.14641957,,,,,,,,
0.00281902,0.001479096,0.14732085,,,,,,,,
0.002385711,0.001502321,0.14744788,,,,,,,,
0.001696896,0.0027406,0.14675291,,,,,,,,
0.001185903,9.33E-04,0.14684719,,,,,,,,
0.001333831,8.24E-04,0.14717439,,,,,,,,
1.99E-04,0.001295633,0.14677376,,,,,,,,
0.001487661,0.002538879,0.14652382,,,,,,,,
0.001980554,0.002120478,0.14558463,,,,,,,,
0.001914877,0.001600548,0.14592071,,,,,,,,
0.002230219,0.001711082,0.14798376,,,,,,,,
0.002481841,0.001659547,0.14855434,,,,,,,,
0.002486894,0.002223196,0.1480719,,,,,,,,
0.00207354,0.001007929,0.14753991,,,,,,,,
0.00127621,0.001904917,0.14777383,,,,,,,,
9.99E-05,-3.53E-04,0.14778653,,,,,,,,
3.32E-04,-8.73E-06,0.14780967,,,,,,,,
-1.62E-05,-0.001459785,0.14804615,,,,,,,,
3.08E-04,-0.001246005,0.14740677,,,,,,,,
5.98E-04,-0.001435157,0.14724508,,,,,,,,
4.30E-04,-0.001304429,0.14797197,,,,,,,,
-9.73E-05,7.33E-04,0.14633934,,,,,,,,
-0.001486401,-2.79E-04,0.14703391,,,,,,,,
-6.32E-04,4.36E-04,0.1461253,,,,,,,,
-7.50E-04,2.57E-04,0.14492966,,,,,,,,
-5.20E-04,7.30E-04,0.1451746,,,,,,,,
4.71E-05,1.42E-04,0.14366104,,,,,,,,
-0.002338495,3.49E-04,0.1454302,,,,,,,,
-0.001576281,0.001325557,0.14726035,,,,,,,,
-0.001941075,-0.001060151,0.1452103,,,,,,,,
-0.002286558,2.93E-04,0.14436693,,,,,,,,
-0.002589226,-9.54E-04,0.14495313,,,,,,,,
-0.003621112,-0.001696941,0.14210169,,,,,,,,
-0.002529569,-9.75E-04,0.1429026,,,,,,,,
-0.002840716,-0.001166867,0.14440095,,,,,,,,
-0.001087278,-2.19E-04,0.14484328,,,,,,,,
-8.99E-04,-9.21E-04,0.14400205,,,,,,,,
-4.79E-04,-1.21E-04,0.14383039,,,,,,,,
-2.00E-04,-5.76E-05,0.14283948,,,,,,,,
-0.001049025,2.10E-04,0.14196822,,,,,,,,
-0.001135369,6.59E-04,0.1418565,,,,,,,,
-0.001194852,-7.70E-04,0.14303996,,,,,,,,
-0.001110076,-7.35E-04,0.14413038,,,,,,,,
-6.20E-04,-6.86E-04,0.14403087,,,,,,,,
-0.00101399,8.60E-04,0.14401521,,,,,,,,
-0.001110808,6.88E-04,0.1448,,,,,,,,
-7.66E-04,9.32E-05,0.14600208,,,,,,,,
-7.62E-04,-8.13E-04,0.14684235,,,,,,,,
-6.83E-04,-6.97E-04,0.14657497,,,,,,,,
-1.62E-04,-9.32E-04,0.14454393,,,,,,,,
-8.68E-04,-1.69E-05,0.14561497,,,,,,,,
-1.19E-04,-0.001117037,0.14554697,,,,,,,,
-4.32E-04,-0.001279072,0.14577965,,,,,,,,
-1.87E-04,-0.001912209,0.14474222,,,,,,,,
2.65E-04,-0.001915769,0.14511402,,,,,,,,
4.29E-04,-9.08E-04,0.14675674,,,,,,,,
0.001279286,-1.01E-04,0.14769025,,,,,,,,
0.001024676,-5.96E-04,0.14748369,,,,,,,,
8.69E-04,-7.59E-05,0.14997272,,,,,,,,
0.001001297,-7.43E-04,0.15026009,,,,,,,,
3.14E-04,6.03E-05,0.15067004,,,,,,,,
3.34E-04,8.21E-04,0.15026456,,,,,,,,
3.39E-04,0.001271777,0.14862153,,,,,,,,
2.44E-04,5.12E-04,0.14943318,,,,,,,,
1.40E-04,0.002245379,0.14894202,,,,,,,,
2.13E-04,0.001982152,0.14934286,,,,,,,,
9.76E-04,0.001754613,0.14832278,,,,,,,,
5.62E-04,0.001102542,0.14824735,,,,,,,,
4.44E-04,2.49E-04,0.14901432,,,,,,,,
2.61E-04,1.29E-04,0.14976978,,,,,,,,
-0.001589053,7.43E-05,0.14803697,,,,,,,,
-0.001307302,-9.42E-04,0.14908619,,,,,,,,
-0.001005899,-0.001184335,0.1479015,,,,,,,,
8.74E-05,-0.001097237,0.1470502,,,,,,,,
-1.29E-04,-6.69E-04,0.14737043,,,,,,,,
8.00E-04,-0.002049234,0.14730845,,,,,,,,
9.44E-04,-0.001710186,0.14683026,,,,,,,,
0.001124991,-0.002551162,0.14821543,,,,,,,,
5.61E-05,-0.002444234,0.1485453,,,,,,,,
2.94E-04,-0.002242281,0.147338,,,,,,,,
8.11E-04,-0.001885977,0.14660418,,,,,,,,
-4.17E-04,-0.002590489,0.14664732,,,,,,,,
5.38E-05,-0.003134748,0.14675401,,,,,,,,
-4.45E-05,-0.003534294,0.14601809,,,,,,,,
4.27E-04,-0.003158574,0.1463864,,,,,,,,
1.34E-04,-0.003077013,0.14621538,,,,,,,,
2.76E-04,-0.003511555,0.14713065,,,,,,,,
8.24E-04,-0.002148301,0.14824769,,,,,,,,
0.001367009,-0.001647878,0.14840224,,,,,,,,
0.001074319,-0.001933729,0.1470962,,,,,,,,
-1.58E-04,-0.001388493,0.14658251,,,,,,,,
-1.03E-04,5.01E-05,0.1448457,,,,,,,,
5.62E-04,5.07E-04,0.14521582,,,,,,,,
-6.96E-04,-6.17E-04,0.14661261,,,,,,,,
1.37E-04,-6.41E-04,0.14685617,,,,,,,,
0.001060382,-1.39E-04,0.14597762,,,,,,,,
0.001282579,-9.55E-04,0.14657557,,,,,,,,
0.001284914,-3.64E-04,0.14649096,,,,,,,,
0.001741395,-8.16E-04,0.14495185,,,,,,,,
0.001738052,-0.001252675,0.14432895,,,,,,,,
0.001264583,-0.001820583,0.14491765,,,,,,,,
0.001671216,-0.001703881,0.14573348,,,,,,,,
0.002185009,-0.001793285,0.14613797,,,,,,,,
0.00235656,-0.002409819,0.14729539,,,,,,,,
0.003138909,-0.001541964,0.1463175,,,,,,,,
0.003407988,-8.22E-04,0.14566523,,,,,,,,
0.002175995,-3.75E-04,0.14722276,,,,,,,,
9.68E-04,-0.0012672,0.14593506,,,,,,,,
0.001248074,-6.32E-04,0.14477704,,,,,,,,
0.001892934,-3.82E-04,0.14526975,,,,,,,,
0.001960846,-0.00135276,0.14517161,,,,,,,,
